Internal ID,Name,Description,Bin Number
1105,FTCRTF88NS316,1/2 TUBE X 1/2 NPT FEMALE RUN TEE -  HY-LOK - 316SS,4A2E
1108,FTCS6L0812,1/2 FNPT X 3/4 FNPT COLLAR - 3000# - 316SS,PROJ
12342,FTCT6660316,"3/8 H.P. FEMALE TEE - 60,000 PSIG - 316SS",4E4D
12343,FTCT9990316,"9/16 H.P. FEMALE TEE - 60,000 PSIG - 316SS",4E7C
1110,FTCTA16S316,1 TUBE UNION TEE - HY-LOK - 316SS,4A4E
12345,FTCTX6660316,"3/8 M.P. FEMALE TEE - 20,000 PSIG - 316SS",4E4C
12347,FTCTX9990316,"9/16 M.P. FEMALE TEE - 20,000 PSIG - 316SS",4E7B
12349,FTCXX6666316,"3/8 MP FEMALE CROSS - 20,000 PSIG - 316SS",4E4E
1123,FTE-12PLGAL,3/4 IN PLUG - ALUMINUM,6E5G
1135,FTE-A2LBF20S-12,CABLE GLAND ELECTRICAL CONNECTOR - 3/4 IN NPT -  OUTER SHEATH 7.2 MM X 11.7 MM WIRE - C1D2 - NICKEL PLATED BRASS,6E8C
25431,FTE-CGB116SA,CABLE GLAND - 1/2 IN - 0.250- 0.375 IN - ALUMINUM,3B2B
1146,FTE-CGB193SA,CORD CONN - 1/2 IN - 0.250- 0.375 IN - SMALL - ALUMINUM,5E6A
1147,FTE-CGB194SA,CORD CONN - 1/2 IN - 0.375- 0.500 IN - MEDIUM - ALUMINUM,5E6B
1148,FTE-CGB195,CORD CONN - 1/2 IN - 0.500- 0.625 IN - ZINC PLATED STEEL,5E6C
1149,FTE-CGB195SA,CORD CONN - 1/2 IN - 0.500- 0.625 - LARGE - ALUMINUM,5E6D
1150,FTE-CGB295SA,CORD CONN - 3/4 IN - 0.500- 0.625 - LARGE - ALUMINUM,5E6E
12354,FTE-EL19SA,1/2 - FEMALE ELBOW - AL - C1D1 - EXPLOSION PROOF,6E6C
26373,FTE-H4CPM4D,SOLAR QUICK CONNECTORS - MC4 CONNECTORS - MALE AND FEMALE PAIR - 10-12awg - PANEL MOUNT,3B3A
12357,FTE-HA501421B34,HAWKE CABEL GLAND - 3/4 MNPT - C1D2,3B3B
12358,FTE-HWK50142112,HAWKE CABLE GLAND - 3/4 IN NPT - BRASS,3B2C
1173,FTE-STA2HUB12AL,"3/4"" HUB - ALUMINUM - C1D2",3B2A
1174,FTE-STA3HUB16AL,"1"" HUB - ALUMINUM - C1D2",6E8B
1185,FTE-UNY205SA,3/4 IN COUPLER UNION -,6E8D
1188,FTE08MSC08NAL,COND CONN - 1/2 IN - STRAIGHT - LIQUIDTITE - ALUMINUM,5E7A
1190,FTE08MSC08NST,COND CONN - 1/2 IN - STRAIGHT - LIQUIDTITE - ZINC PLATED STEEL,5E8A
1191,FTE08MSEL08NAL,COND CONN - 1/2 IN - 90 DEG ELBOW - LIQUIDTITE - ALUMINUM,5E7B
1192,FTE08NUTP,1/2 LOCKNUT - BLACK NYLON,6E8A
1193,FTE08SLNGRNG,SEALING WASHER - 1/2 IN - AL,5E5E
1195,FTE12MSC12NAL,COND CONN - 3/4 IN - STRAIGHT - LIQUIDTITE - ALUMINUM,5E7C
1197,FTE12MSC12NST,COND CONN - 3/4 IN - STRAIGHT - LIQUIDTITE - ZINC PLATED STEEL,5E8B
1199,FTE12SLNGRNG,SEALING WASHER - 3/4 IN - AL,5E5E
1202,FTE16MSC16NAL,COND CONN - 1 IN - STRAIGHT - LIQUIDTITE - ALUMINUM,587D
1203,FTE16MSC16NST,COND CONN - 1 IN - STRAIGHT - LIQUIDTITE - ZINC PLATED STEEL,5E8C
1204,FTE16SLNGRNG,SEALING WASHER - 1 IN - AL,5E8F
1205,FTE8-90SWN,(DISC) ---1/2 IN - 90 SWEEP - NYLON,DISC
24694,FTFCB16A32F150U,"2"" FLANGE 150"" RF X 1"" TUBE ADAPTER - 316SS",5E4D
1210,FTHB3H8TS316,1/2 TUBE  BALL VALVE - PCTFE SEAT - 6000 PSI -  HY-LOK - 316SS,4A2B
19122,FTHC06,"3/8"" NPT FEMALE/FEMALE FIXED ROUND COUPLING (HASTELLOY C276)",189
1217,FTK6KGF316,"PRESSURE GAUGE - 0-6,000 PSIG - MCDANIEL'S",5A3B
1219,FTKDGF316,PRESSURE GAUGE - 0-100 PSIG - MCDANIEL'S,5A2A
1222,FTKGGF316,PRESSURE GAUGE - 0-300 PSIG - MCDANIEL'S,5A2B
1224,FTKHGF316,PRESSURE GAUGE - 0-400 PSIG - MCDANIEL'S,5A2C
1225,FTKIGF316,PRESSURE GAUGE - 0-600 PSIG - MCDANIEL'S,5A2D
1226,FTKKGF316,"PRESSURE GAUGE - 0-1,000 PSIG - MCDANIEL'S",5A2E
1228,FTKMGF316,"PRESSURE GAUGE - 0-2,000 PSIG - MCDANIEL'S",5A2F
1229,FTKNGF316,"PRESSURE GAUGE - 0-3,000 PSIG - MCDANIEL'S",5A2G
1230,FTKOGF316,"PRESSURE GAUGE - 0-5,000 PSIG - MCDANIEL'S",5A3A
1231,FTKP14MPMGF316,"PRESSURE GAUGE - 0-10,000 PSIG - MCDANIEL'S  M.P. 1/4 AUTOCLAVE",5A3D
1232,FTKPGF316,"PRESSURE GAUGE - 0-10,000 PSIG - MCDANIEL'S",5A3C
1234,FTKQ14MPMGF316,"PRESSURE GAUGE - 0-15,000 PSIG - MCDANIEL'S  M.P. 1/4 AUTOCLAVE",5A3E
1235,FTKQGF316,"PRESSURE GAUGE - 0-15,000 PSIG 1/4 MNPT - MCDANIEL'S",5A3E
1236,FTKR04MPGF316,"(DISC) --- MCDANIEL'S PRESSURE GAUGE - 0-20,000 PSIG - M.P. 1/4 AUTOCLAVE",DISC
1237,FTKR14MPMGF316,"PRESSURE GAUGE - 0-20,000 PSIG -  MCDANIEL'S  M.P. 1/4 AUTOCLAVE",5A3F
1238,FTKRGF316,"(DISC) --- PRESSURE GAUGE - 0-20,000 PSIG - MCDANIEL'S",5A3E
12458,FTMS06X983316,"3/8 M.P. X 6.125"""" TUBING - FOR 8400 HP PUMPS - 20,000 PSIG - 316SS",4E4H
18267,FTMS15083316,"FOOT OF 9/16 H.P. TUBING - 60,000 PSIG - 316SS",PROJ
1241,FTNS60843,(DISC---FT8N48SCH40316) --- 1/2 MNPT X 3 IN NIPPLE - SCH 40 - 316SS,4D2A
1243,FTNS60883,(DISC---FT8N48SCH80316) --- 1/2 MNPT X 3 IN NIPPLE - SCH 80 - 316SS,3D2B
29653,FTNV20F9A,"NV20F9A- NEEDLE VALVE, STRAIGHT, PANEL MOUNT TYPE, 9/16 MP FEMALE, SS316, 20,000 PSI",2A6A
29653,FTNV20F9A,"NV20F9A- NEEDLE VALVE, STRAIGHT, PANEL MOUNT TYPE, 9/16 MP FEMALE, SS316, 20,000 PSI",120
1246,FTPB48P,1/4 IN FNPT ELBOW - PFA,195
1248,FTPB8N4NP,1/2 IN MNPT X 1/4 FNPT REDUCING BUSHING  - PVC - SCH 80 - GRAY - THD,PROJ
1251,FTPC12NP,3/4 IN COUPLING - SCH 80 - PVC,4B2F
1252,FTPC16NP,1 IN COUPLING - SCH 80 - PVC,4B2G
1253,FTPC4NCPVC,1/4 IN FNPT COUPLING - CPVC - SCH 80,4B2H
1254,FTPC4P,1/4 IN FNPT COUPLING - PFA,194
1259,FTPE12NP,3/4 IN FNPT 90 DEGREE ELBOW  - PVC - SCH 80 - GRAY - THD,4B3B
1264,FTPE4P,1/4 IN FNPT ELBOW - PFA,204
1265,FTPE6NP,3/8 IN FNPT 90 DEGREE ELBOW  - PVC - SCH 80 - GRAY - THD,PROJ
1267,FTPE8NP,1/2 IN FNPT 90 DEGREE ELBOW  - PVC - SCH 80 - GRAY - THD,4B3D
1268,FTPE8P,1/2 IN FNPT ELBOW - PFA,187
12459,FTPFA4RPS6,3/8 TUBE NEEDLE VALVE - PFA - SWAGELOK,192
19167,FTPFA4RPS8,"1/2"" PFA NEEDLE VALVE - PFA",198
19168,FTPFA62014,3/8 TUBE X 1/4 MALE CONNECTOR - PFA,184
19169,FTPFA62016,3/8 TUBE X 3/8 MALE CONNECTOR - PFA,190
19171,FTPFA62026,3/8 TUBE X 3/8 MALE ELBOW - PF,185
19173,FTPFA6206,3/8 TUBE UNION - PFA,207
19175,FTPFA6209,3/8 TUBE UNION ELBOW - PFA,191
1274,FTPN12N4P,3/4 IN MNPT X 4 IN NIPPLE -PVC - SCH 80 - GRAY - THD,4B3F
1298,FTPN4N4P,1/4 IN MNPT X 4 IN NIPPLE - PVC - SCH 80 - GRAY - THD,4B3I
1304,FTPN4NCP,1/4 IN MNPT CLOSE NIPPLE - PVC - SCH 80 - GRAY - THD,4B4A
1324,FTPN8N3P,1/2 IN MNPT X 3 IN NIPPLE - PVC - SCH 80 - GRAY - THD,4B4F
1329,FTPN8N7P,1/2 IN MNPT X 7 IN NIPPLE - PVC - SCH 80 - GRAY - THD,4B4H
1333,FTPN8NCP,1/2 IN MNPT CLOSE NIPPLE - PVC - SCH 80 - GRAY - THD,4B4I
1334,FTPN8P,1/2 IN NIPPLE - PFA,193
1335,FTPNR6N4NP,3/8 IN MNPT  X 1/4 IN MNPT REDUCING NIPPLE - PVC - SCH 80 - GRAY - THD,4B5A
1336,FTPP6NP,3/8 IN HEX HEAD PLUG - PVC - GRAY,4B5B
1338,FTPRB12N4CPVC,3/4 IN X 1/4 IN REDUCING BUSHING - CPVC - SCH 80 - GRAY - NPT,4B5C
1348,FTPRB8N4P,1/2 IN X 1/4 IN REDUCING BUSHING - PVC - SCH 80 - GRAY - NPT,4B5D
1350,FTPSE88P,1/2 IN STREET ELBOW - PFA,199
1352,FTPT12NP40,3/4 IN FNPT TEE - PVC - SCH 40 - GRAY - THD,4B5E
1353,FTPT12NP80,3/4 IN FNPT TEE - PVC - SCH 80 - GRAY - THD,4B5F
1357,FTPT4P,1/4 IN FNPT TEE - PFA,206
1359,FTPT8P,1/2 IN FNPT TEE - PFA,186
1365,FTPU4NPL,1/4 IN FNPT UNION - LONG - PVC - SCH 80 - GRAY - THD,4B5I
1371,FTS1215DCMNPT14,1/4 MNPT X M12 HOSE ADAPTOR,3E3C
19196,FTSN0654603,"COUPLING STRAIGHT 1/2"" - PFA",196
19197,FTSN0654609,"1/2"" MNPT / 3/8"" FNPT REDUCING BUSHING - PFA",203
19199,FTSN0654626,"NIPPLE 3/8"" - PFA",208
19200,FTSN0654628,"REDUCER MALE 1/2"" X 3/8"" - PFA",209
19201,FTSN0654636,"ELBOW UNION 3/4"" - PFA",197
12469,FTSS12NRM8F8ASH,***DO NOT SELL THIS ITEM**** NV0500-1    1/2 MNPT X 1/2 FNPT NEEDLE VALVE - 316SS,B-2A1B
12473,FTSS18RF6ASH,***DO NOT SELL THIS ITEM**** NV0600-1   3/8 FNPT X 3/8 FNPT NEEDLE VALVE - 316SS,B-2B1B
12477,FTSS26VM6F6A,(DISC) --- 3/8 MNPT X 3/8 FNPT NEEDLE VALVE - 316SS,DISC
12478,FTSS26VM8F8A,(DISC) --- GLYCOL NEEDLE VALVE - 316SS,DISC
1508,FTTS6HF08,(DISC) --- 1/2 FNPT TEE - SCH 80 - 316SS,DISC
1509,FTTS6LF08,(DISC) --- 1/2 FNPT TEE - SCH 40 - 316SS,DISC
12519,FXA0009-101,(DISC---FXA0009-4) --- ATEX HOUSING - FXA - ANODIZE,2D3B
12522,FXA0009-2,(DISC---FXA0009-4) --- STACKABLE HOUSING - FXA - ANODIZED,2D3A
12524,FXA0009-3,(DISC---FXA0009-4)-----STACKABLE HOUSING - FXA - ANODIZED,P-1C4A
12525,FXA0009-4,STACKABLE HOUSING - FXA - ANODIZED,B-2C1A
12526,FXA0010-1,COVER - INNER - FXA - ANODIZE,B-2C4B
12530,FXA0011-2,(DISC---FXA0011-4)----STACKABLE OUTER COVER - ANODIZED - FXA,B-3C1B
12532,FXA0011-3,OUTER COVER - FXA - ANODIZED,B-3C2B
12534,FXA0011-4,STACKABLE OUTER COVER - ANODIZED - FXA,B-2C4A
12535,FXA0012-1,1250 HEAD ADAPTER PLATE - 316SS- FXA,B-2C3B
12536,FXA0012-10,1500 HEAD ADAPTER PLATE - 316SS - FXA,B-2C3E
12541,FXA0013-1,FOLLOWER - FXA,B-2C2A
12545,FXA0014-101,SHAFT - ECCENTRIC - ATEX FXA - H900,B-2B5B
12547,FXA0014-103,SHAFT - 7/8 SPLINE 6T SAE - ECCENTRIC - FXA - 4140 STEEL - ION NITRIDE,B-2C2B
12549,FXA0014-107,SPLINED SHAFT DOUBLE FXA - 30mm THROUGH BORE - 4140,B-2C5C
12551,FXA0014-108,SPLINED SHAFT SINGLE FXA - 30mm THROUGH BORE - 4140,B-2C4D
12559,FXA0014-2,SHAFT - 5/8 IN - ECCENTRIC - H900 HT,B-2C2C
12565,FXA0014-3,STACK SHAFT - 5/8 IN - 180 DEG - H900 HT,B-2B5A
12567,FXA0014-4,STACK SHAFT - 5/8 IN - 120 DEG - H900 HT,2D4A
12570,FXA0015-1,1250 PLUNGER ADAPTER - 316SS - FXA,2D4C
12571,FXA0015-10,1500 PLUNGER ADAPTER - 316SS - FXA,B-2C3C
12577,FXA0015-4,1250 PLUNGER ADAPTER - 316SS - FXA,B-2C3A
12579,FXA0017-1,MOUNTING BRACKET- BODINE- 2PC - FXA,B-3B3C
12580,FXA0017-10,MOUNTING BRACKET - FXA,B-2C5D
12582,FXA0017-101,MOUNTING BRACKET - ATEX - FXA - ANODIZED,B-3C5B
12585,FXA0017-103,MOUNTING BRACKET - VAR-SPE FXA - ANODIZED,B-3B3A
12587,FXA0017-105,MOUNTING BRACKET - VAR-SPE FXA - 316SS -  FOR VERTICAL DESIGN,P-1C4A
12587,FXA0017-105,MOUNTING BRACKET - VAR-SPE FXA - 316SS -  FOR VERTICAL DESIGN,QC
12590,FXA0017-2,MOUNTING BRACKET - FXA - ANODIZED,B-3B3B
12594,FXA0017-6,MOUNTING BRACKET- BODINE- 3 PC - FXA,B-3B2D
12595,FXA0017-7,MOUNTING BRACKET ADAPTER PLATE - BODINE- 3 PC - FXA,B-3B1A
12596,FXA0017-8,MOUNTING BRACKET BASE PLATE- BODINE- 3 PC - FXA,B-3B1B
12597,FXA0023-1,RETAINER - SEAL - FXA - 316SS,2D4B
1510,FXA0025-1,SERIAL NUMBER PLATE - FXA,2D4E
12598,FXA0029-1,STACK ADAPTER HOUSING - ANODIZED - FXA,B-2C1C
12611,FXA0044-1,SHAFT COVER - FXA - ANODIZE,B-2C1B
12612,FXA0045-1,SHIM - PTFE - FXA,2D3E
12614,FXA0046-1P,MOTOR COVER - FXS DC MOTOR - BARE(UNCOATED),QC
12640,FXS0017-6,MOUNTING BRACKET- BODINE- 3 PC - FXS,B-2B4A
12642,FXS0017-7,MOUNTING BRACKET ADAPTER PLATE - BODINE- 3 PC - FXS,B-2B4B
12644,FXS0017-8,MOUNTING BRACKET BASE PLATE- BODINE- 3 PC - FXS,B-2B4C
1511,FXS0025-1,SERIAL NUMBER PLATE - FXS SOLAR,2D3D
1515,G521,(DISC) --- 1/2 IN FNPT BALL VALVE - 316S,DISC
12650,G52101,CHECKRATE 18 GPD/2.8 LPH CALI & DRUM GAUGE ASSY W/ VALVE - AL/SS/GLASS,4B7A
12651,G522,DRUM GAUGE - CONVERTIBLE - AL/SS,4B7D
1516,G523,(DISC) --- CLOSE NIPPLE - GAUGE - 316SS,4C2C
1517,G524,PLUG - GAUGE - 316SS,4c5a
1518,G525,(DISC) --- 3/4 IN BALL VALVE - GAUGE - 316SS,DISC
1519,G526,(DISC) --- 1 IN BALL VALVE - GAUGE - 316SS,DISC
12657,GBFLGS6120,BOTTOM FLANGE - 20 CALI GAUGE - 316SS,12A3B
12658,GBFLGS6135,BOTTOM FLANGE - 35 CALI GAUGE - 316SS,12A3D
12659,GBFLGS6148,BOTTOM FLANGE - 48 CALI GAUGE - 316SS,12A4B
12660,GBFLGS6275,BOTTOM FLANGE - 75 CALI GAUGE - 316SS,12A5B
12660,GBFLGS6275,BOTTOM FLANGE - 75 CALI GAUGE - 316SS,QC
12661,GBFS20,BOTTOM FLANGE SUBASSY - 20 CALI GAUGE - 316SS,12B3A
12662,GBFS35,BOTTOM FLANGE SUBASSY - 35 CALI GAUGE - 316SS,12B3B
12663,GBFS48,BOTTOM FLANGE SUBASSY - 48 CALI GAUGE - 316SS,12B4A
12664,GBFS75,BOTTOM FLANGE SUBASSY - 75 CALI GAUGE - 316SS,12B5A
12666,GBFS88,BOTTOM FLANGE SUBASSY - 88 CALI GAUGE - 316SS,12B6A
1521,GCPLGPV113,COUPLING - GP113 CALI GAUGE - PVC,8A1B
1522,GCPLGPV132,COUPLING - GP132 CALI GAUGE - PVC,8B1B
1523,GCPLGPV151,COUPLING - GP151 CALI GAUGE - PVC,8C1B
1524,GCPLGPV176,COUPLING - GP176 CALI GAUGE - PVC,8D1B
1525,GCYLPV113,CYLINDER - GP113/M CALI GAUGE - PVC,8A1C
1526,GCYLPV132,CYLINDER - GP132/M CALI GAUGE - PVC,8B1C
1527,GCYLPV151,CYLINDER - GP151/M CALI GAUGE - PVC,8C1C
1528,GCYLPV176,CYLINDER - GP176/M CALI GAUGE - PVC,8E1A
1529,GDCLM313,DECAL - GP113 CALI GAUGE - 75 L/DAY - 100 USQ/DAY,INV OFFICE
1530,GDCLM313M,DECAL - GP113M CALI GAUGE - 50 ML/MIN - 19 USG/DAY,INV OFFICE
1531,GDCLM320,DECAL - GS120 CALI GAUGE - 75 L/DAY - 80 USQ/DAY,INV OFFICE
1532,GDCLM320M,DECAL - GS120M CALI GAUGE - 50 ML/MIN - 75 USQ/DAY,INV OFFICE
1533,GDCLM332,DECAL - GP132 CALI GAUGE - 325 L/DAY - 85 USG/DAY,INV OFFICE
1534,GDCLM332M,DECAL - GP132M CALI GAUGE - 225 ML/MIN - 85 USG/DAY,INV OFFICE
1535,GDCLM335,DECAL - GS135 CALI GAUGE - 275 L/DAY - 75 USG/DAY,INV OFFICE
1536,GDCLM335M,DECAL - GS135M CALI GAUGE - 190 ML/MIN - 75 USG/DAY,INV OFFICE
1537,GDCLM348,DECAL - GS148 CALI GAUGE - 550 L/DAY - 150 USG/DAY,INV OFFICE
1538,GDCLM348M,DECAL - GS148M CALI GAUGE - 400 ML/MIN - 150 USG/DAY,INV OFFICE
1539,GDCLM351,DECAL - GP151 CALI GAUGE - 650 L/DAY - 180 USG/DAY,INV OFFICE
1540,GDCLM351M,DECAL - GP151M CALI GAUGE - 450 ML/MIN - 180 USG/DAY,INV OFFICE
1541,GDCLM375,DECAL - GS175 CALI GAUGE - 1600 L/DAY - 425 USG/DAY,INV OFFICE
1542,GDCLM375M,DECAL - GS175M CALI GAUGE - 1000 ML/MIN - 425 USG/DAY,INV OFFICE
1544,GDCLM376,DECAL - GP176 CALI GAUGE - 1400 L/DAY - 375 USG/DAY,INV OFFICE
1545,GDCLM376M,DECAL - GP176M CALI GAUGE - 1000 ML/MIN - 375 USG/DAY,INV OFFICE
1546,GDCLM388,DECAL - GS188 CALI GAUGE -,INV OFFICE
1548,GGLASBS20,GLASS - GS120 CALI GAUGE - BOROSILICATE,4B5A
1549,GGLASBS35,GLASS - GS135 CALI GAUGE - BOROSILICATE,4B5B
1550,GGLASBS48,GLASS - GS148 CALI GAUGE - BOROSILICATE,4B5C
1551,GGLASBS75,GLASS - GS175 CALI GAUGE - BOROSILICATE,4B5D
1555,GP113,CHECKRATE CALI GAUGE ASSY - 70 L/DAY - 75 USQ/DAY - PVC,8A2A
1556,GP113M,CHECKRATE CALI GAUGE ASSY - 50 ML/MIN - 19 USG/DAY - PVC,8B2A
1557,GP132,CHECKRATE CALI GAUGE ASSY - 325 L/DAY - 85 USG/DAY - PVC,8A2B
1558,GP132M,CHECKRATE CALI GAUGE ASSY - 225 ML/MIN - 85 USG/DAY - PVC,8B2B
1559,GP151,CHECKRATE CALI GAUGE ASSY - 650 L/DAY - 180 USG/DAY - PVC,8A2C
1560,GP151M,CHECKRATE CALI GAUGE ASSY - 450 ML/MIN - 180 USG/DAY - PVC,8B2C
1561,GP176,CHECKRATE CALI GAUGE ASSY - 1400 L/DAY - 375 USG/DAY - PVC,8A2D
1562,GP176M,CHECKRATE CALI GAUGE ASSY - 1000 ML/MIN - 375 USG/DAY - PVC,8B2D
1563,GRBPV113,REDUCING BUSHING - GP113 CALI GAUGE - PVC,8A1A
1564,GRBPV132,REDUCING BUSHING - GP132 CALI GAUGE - PVC,8B1A
1565,GRBPV151,REDUCING BUSHING - GP151 CALI GAUGE - PVC,8C1A
1566,GRBPV176,REDUCING BUSHING - GP176 CALI GAUGE - PVC,8D1A
12732,GS120,GAUGE ASSY - 75 L/DAY - 80 USQ/DAY - 316SS/GLASS/PVC,8A3A
12734,GS120M,GAUGE ASSY - 50 ML/MIN - 80 USQ/DAY- 316SS/GLASS/PVC,8A3B
12737,GS135,GAUGE ASSY - 275 L/DAY - 75 USG/DAY -316SS/GLASS/PVC,8A4A
20023,GS135-FFKM,GAUGE ASSY - 275 L/DAY - 75 USG/DAY -316SS/GLASS/PVC - FFKM SEAL,8A4A
12738,GS135M,GAUGE ASSY - 190 ML/MIN - 75 USG/DAY - 316SS/GLASS/PVC,8A4B
12740,GS148,GAUGE ASSY - 550 L/DAY - 150 USG/DAY - 316SS/GLASS/PVC,8A5A
12741,GS148M,GAUGE ASSY - 400 ML/MIN - 150 USG/DAY - 316SS/GLASS/PVC,8A5B
12743,GS175,GAUGE ASSY - 1600 L/DAY - 425 USG/DAY - 316SS/GLASS/PVC,8A6A
12744,GS175M,GAUGE ASSY - 1000 ML/MIN - 425 USG/DAY - 316SS/GLASS/PVC,8A6B
12747,GS188,GAUGE ASSY - 5450 L/DAY - 1440 USG/DAY - 316SS/PVC,8A8A
1567,GSHLDPV20,SHIELD - GS120 CALI GAUGE - CLEAR PVC,12A2A
1568,GSHLDPV35,SHIELD - GS135 CALI GAUGE - CLEAR PVC,12B2A
1569,GSHLDPV48,SHIELD - GS148 CALI GAUGE - CLEAR PVC,12C3A
1570,GSHLDPV75,SHIELD - GS175 CALI GAUGE - CLEAR PVC,12C4A
12753,GTCAPS6120,TENSION ROD CAP - 20/35 GAUGE - 316SS,12E3B
12756,GTFLGS6120,TOP FLANGE - 20 CALI GAUGE - 316SS,12A3A
12757,GTFLGS6135,TOP FLANGE - 35 CALI GAUGE - 316SS,12A3C
12758,GTFLGS6248,TOP FLANGE - 48 CALI GAUGE - 316SS,12A4A
12759,GTFLGS6275,TOP FLANGE - 75 CALI GAUGE - 316SS,12A5A
12759,GTFLGS6275,TOP FLANGE - 75 CALI GAUGE - 316SS,QC
12761,GTNUTS6108,TENSIONING NUT - CHECKRATE SS CALI GAUGE - 316SS,12E3A
12764,GTRODS6120,TENSION ROD - 20/35 GAUGE - 316SS,12E3C
12765,GTRODS6248,TENSION ROD - 48/75 GAUGE - 316SS,12E3D
12767,GX0001-1,TOP COVER - GX15 - 316SS,B-3D3B
12768,GX0002-1,MOTOR HOUSING - GX15 PUMP - 316SS,B-3D5A
12770,GX0003-1,SPOOL - GX15 - 25% CARBON - TFE,QC
12770,GX0003-1,SPOOL - GX15 - 25% CARBON - TFE,B-3D3C
12771,GX0004-1,D-SLIDE - GX15 - 25% CARBON FILLED - PTFE,2C3C
12773,GX0005-5,PISTON/ROD ASSEMBLY - GX15 - 316SS,B-3D1B
12773,GX0005-5,PISTON/ROD ASSEMBLY - GX15 - 316SS,QC
12774,GX0006-1,PLUNGER - HEAD - 1/8 IN - 316SS - GX15,6A1A
12775,GX0007-1,PLUNGER - HEAD - 1/4 IN - 316SS- GX15,6A1B
12776,GX0008-1,PLUNGER - HEAD - 1/8 IN - CER - GX15,2C4B
12777,GX0009-1,(DISC---GX0009-3)-----PLUNGER - HEAD - 1/4 IN - CER- GX15,2C4C
12779,GX0009-2,3 PC CERAMIC PLUNGER - HEAD - 1/4 IN - GX15,2C4D
12781,GX0010-1,GLAND NUT - ISO CAP - GX15 - 316SS,B-3D3A
12783,GX0011-1,1/8 IN INJECTION HEAD - GX15 - 316SS,B-3D4C
12785,GX0012-1,(DISC---GX0012-2)-----1/4 IN INJECTION HEAD - GX15 - 316SS,B-3D4A
12786,GX0012-2,1/4 IN INJECTION HEAD - GX15 - 316SS,B-3D4B
1572,GX0013-1,1/8 IN PLUNGER BUSHING - GX15 - PEEK,2C4A
12787,GX0014-1,1/8 PISTON/PLUNGER SUBASSY - GX15 - ANODIZED AL/ CERAMIC,B-3D1A
12788,GX0015-1,1/4 PISTON/PLUNGER SUBASSY - GX15 - ANODIZED AL/ CERAMIC,B-3D1B
12789,GX0016-1,PISTON/ROD ASSEMBLY FRICTION WELD - GX15 - AL6061T4 - HARD ANODIZED,B-3D1C
1573,GX1516,"1-1/2"""" CROWN SEAL - PISTON - GX15 - UR95",2C3A
1574,GX1550,GX15 SERIAL NUMBER PLATE,2C5F
1575,GX15S62,EXPANSION PLUG - GX15 - 316SS,2C5D
1576,GX15TCGU41,GASKET - TOP COVER -  GX15 - U4145,2C3B
1577,GX15TCGVI1,(DISC---GX15TCGUH1) --- GASKET - TOP COVER -  GX15 - VITON,2C3B
12821,HBCS6156,(DISC) --- BRACKET - CONTROLLER - 316SS (BADGER VALVE),DISC
12827,HDA0003-1,STRAINER PLATE - HDA - 4140 STEEL,6D2A
1579,HDA0004-1,"CHEMICAL HEAD BOLT - SOCKET CAP SCREW 3/4-10 X 2.5"""" - 18-8 SS - HDA",6D5A
1580,HDA0006-1,SPIRAL RETAINING RING - BUSHING HDA,6D6D
12830,HDA0007-1,BASE - HDA - ANODIZED 6061-T6,6D1A
12838,HDA0106-1,ACTUATOR 6MM - YTZP - UNHIPPED,6D6C
12839,HDA0110-1,ACTUATOR 10MM - YTZP - UNHIPPED,6D6B
12841,HDA0114-1,ACTUATOR 14MM - YTZP - UNHIPPED,6D6A
12851,HDA0501-1,CAP - LEAK DETECTION - HDA - 316SS,6D2C
12852,HDA0502-1,PISTON - LEAK DETECTION - HDA - 316SS,6D2D
12853,HDA0503-1,BASE - LEAK DETECTION - HDA - 316SS,6D2E
12855,HDA0601-1,CAP - RESERVOIR - HDA - DELRIN,6D2F
12856,HDA0602-1,TANK - RESERVOIR - HDA - 316SS,6D2G
12858,HDA0701-1,"HOUSING, ACTUATOR RECEIVER -  - AISI 316 ANNEALED STAINLESS STEEL BAR (SS)",6D3A
12859,HDA0702-1,PISTON - QUICK DISCONNECT - HDA - 316SS,6D3B
12860,HDA0703-1,SPRING QUICK DISCONNECT - HDA - 316SS,6D4G
12866,HDBV0001-1,HOUSING - BURP VALVE - HDA - 316SS,6D3C
12867,HDBV0002-1,SEAT - BURP VAVLE - HDA - 316SS,6D3D
12868,HDBV0003-1,POPPET - BURP VALVE - HDA - 316SS,6D3E
12869,HDBV0004-1,CAP - BURP VAVLE - HDA - 316SS,6D3F
12871,HDIRV0001-1,BODY - IRV - HDA - 316SS,6D3G
12872,HDIRV0002-1,BALL GUIDE - IRV - HDA - 316SS,6D3H
1583,HDIRV0004-1,SET SCREW 1/4 -28 X 3/8 - IRV - MDA - 18-8 SS,6D4A
1584,HDIRV0005-1,"HOLLOW LOCK SET SCREW - 1/4 - 28 X 1/8"""" - IRV - HDA - 18-8 SS",6D4B
1585,HDIRV0006-1,SAE PLUG - IRV - HDA,6D4C
12874,HDTT0001-1,BODY - TATTLE TALE - HDA - 316SS,6D4D
12875,HDTT0002-1,PISTON - TATTLE TALE - HDA - 316SS,6D4E
12876,HDTT0003-1,CAP TATTLE TALE - HDA,6D4F
12878,HFLRSTS6148,MOUNTING BRACKET - 1250 - 316SS,B-1A4B
12879,HFLRSTS6248,MOUNTING BRACKET - 1250 - SPECIAL - 316SS,B-1A4A
