Internal ID,Name,Description,Bin Number
176,C3515,(DISC) --- BALL - 1/4 IN BALL CHECK - 316SS,DISC
177,C3516,(DISC) --- BALL - 1/4 IN BALL CHECK - CERAMIC,DISC
178,C3517,BALL - 1/2 IN BALL CHECK - CERAMIC,9B2B
179,C3519,SPRING - 1/4 IN BALL CHECK - 1/3 PSI - 316SS,9B2A
179,C3519,SPRING - 1/4 IN BALL CHECK - 1/3 PSI - 316SS,218
180,C3520,SPRING - 1/4 IN BALL CHECK - 10 PSI - 316SS,9B2A
181,C3521,SPRING - 1/4 IN BALL CHECK - 5 PSI - C276,9B2A
182,C3523,SPRING - 1/2 IN BALL CHECK - 1/3 PSI - 316SS,9B2A
183,C3524,SPRING - 1/2 IN BALL CHECK - 10 PSI - 316SS,9B2A
184,C3525,(DISC) --- SPRING - 1/2 IN BALL CHECK - 5 PSI - C276,1C2D
185,C3534H,(DISC) --- RETAINER - 1/4 IN BALL CHECK - C276,1C3C
186,C3534S,RETAINER - 1/4 IN BALL CHECK - 316SS,9B2B
187,C3535H,(DISC) --- BODY - 1/4 MNPT - BALL CHECK - C276,1C3B
188,C3535S,BODY - 1/4 MNPT - BALL CHECK - 316SS,9B2B
189,C3536H,(DISC) --- STEM - 1/4 MNPT - BALL CHECK - C276,1C3A
190,C3536S,STEM - 1/4 MNPT - BALL CHECK - 316SS,9B2B
191,C3537S,RETAINER - 500 BALL CHECK - 316SS,9B2B
192,C3538S,BODY - 1/2 MNPT - BALL CHECK - 316SS,1C1A
193,C3539FS,(DISC) --- STEM - 1/2 FNPT - BALL CHECK - 316SS,DISC
194,C3539S,STEM - 1/2 MNPT - BALL CHECK - 316SS,1C1B
195,C3540S,(DISC) --- BODY - 1/2 MNPT - 1/4 X 1/2 IN BALL CHECK - 316SS,DISC
196,C3542,SPACER  500 BALL CHECK,9B2B
197,C3543,(DISC) --- O-RING - CHECK SPACER - 1/2 IN - BUNA,DISC
198,C40C22,(DISC) --- BALL - C40 1/4 IN BALL CHECK - CERAMIC,DISC
199,C45C22,(DISC) --- BALL - 1/2 IN BALL CHECK - CERAMIC,DISC
11153,C502,BODY - 1/2 IN FAILSAFE CHECK - 1PC - 316SS,1A6E
11154,C502H,BODY - 1/2 IN FAILSAFE CHECK - 1PC - C276,1A9E
11156,C503,(DISC---C503N) --- POPPET - 1/2 IN FAILSAFE CHECK - 316SS,1B5E
11157,C503H,POPPET - 1/2 IN FAILSAFE CHECK - C276,1A9F
11158,C503N,POPPET - 1/2 IN FAILSAFE CHECK - XWL,1A6D
11160,C505,RETAINER - 1/2 IN FAILSAFE CHECK - 1PC - 316SS,1A6F
11161,C505H,RETAINER - 1/2 IN FAILSAFE CHECK - 1PC - C276,1A9G
11163,C506,(DISC---ORPF0403) --- O-RING - CHECK - PFE,DISC
201,C50DSS61,CHECK SPACER - 1500 - DISCHARGE - 316SS,QC
201,C50DSS61,CHECK SPACER - 1500 - DISCHARGE - 316SS,1A3F
204,C50SSS61,CHECK SPACER - 1500 - SUCTION - 316SS,QC
204,C50SSS61,CHECK SPACER - 1500 - SUCTION - 316SS,1A3E
11166,C62-018-3101,HYDRA CELL SPRING 75-500 PSI,4C5F
11180,CADPTSS6114,(DISC---CADPTSS6114-1) --- CHECK BODY - SUCTION - 316SS,DISC
11181,CADPTSS6114-1,CHECK BODY - SUCTION - 316SS,QC
11181,CADPTSS6114-1,CHECK BODY - SUCTION - 316SS,10D4A
11183,CALG0001-1,BOTTOM FLANGE - 88 CALI GAUGE - 316SS,12A6B
11185,CALG0002-1,TOP FLANGE - 88 CALI GAUGE - 316SS,12A6A
206,CALG0003-1,CYLINDER - 88 CALI GAUGE - 316SS,12C5A
11187,CALG0004-1,TENSION ROD - 88 CALI GAUGE - 316SS,12A6C
11189,CALG0005-1,TENSION NUT - 88 CALI GAUGE - 316SS,12A6D
207,CALG0006-1,GASKET - 88 CALI GAUGE - VITON,4A2G
11194,CBDHFS61703,HIGH FLOW CHECK BODY - 316SS,10D4B
11198,CBDHPDHC1187,HP CHECK BODY - DISCHARGE - 1/2 IN FAILSAFE CHECK - 2PC - C276,1B6D
11199,CBDHPDHC1A4,CHECK BODY - DISCHARGE - C276,1B6E
11200,CBDHPDHC1A6,HP CHECK BODY - DISCHARGE - WITH A6 AUTOCLAVE - C276,1B6F
11201,CBDHPDN52100,CHECK BODY - 1/4 LP - DISCH - NITRONIC 50,6E5D
11202,CBDHPDS61187,CHECK BODY- 1/4 IN LP - DISCHARGE - 2PC - 316SS,1A7F
11203,CBDHPDS61A4,CHECK BODY - DISCHARGE - 316SS,1A7D
11204,CBDHPDS61A6,HP CHECK BODY - DISCHARGE - WITH A6 AUTOCLAVE - 316SS,1A7E
11205,CBDHPSS62187,HP CHECK BODY - SUCTION - 316SS,NS
208,CBM04PV100,(DISC) --- 1/4 IN PVC 1PC BALL CHECK ASSY W/ CERAMIC BALL - NO SPRING - 1250,DISC
209,CBM04PV101,(DISC) --- 1/4 IN PVC 1PC BALL CHECK ASSY W/CERAMIC BALL - 1 PSIG SPRING - 1250,DISC
210,CBM04PV105,(DISC) --- 1/4 IN PVC 1PC BALL CHECK ASSY W/CERAMIC BALL - 5 PSIG - 1250,DISC
211,CBM04PV120,(DISC) --- 1/4 IN PVC 1PC BALL CHECK ASSY W/ CERAMIC BALL - 20 PSIG - 1250,DISC
11211,CBM04S6Q200,(DISCONTINUED)----1/4 IN SS 2-PC SUCTION CHECK ASSY W/ CERAMIC BALL - FKM - 1250,1C7A
11212,CBM04S6Q201,(DISCONTINUED)----1/4 IN SS 2-PC DIS CHECK ASSY W/ CERAMIC BALL - FKM - 1250,1B4D
11214,CBM04S6T200,(DISCONTINUED)----1/4 IN SS 2-PC TFE SUCTION CHECK ASSY W/ CERAMIC BALL - 1250 - NO SPRING,1C7A
11215,CBM04S6T201,(DISCONTINUED)----1/4 IN SS 2-PC TFE DISCH CHECK ASSY W/ CERAMIC BALL - 1250 - 1 PSIG SPRING,1B4C
212,CBM08PV100,(DISC) --- 1/2 IN PVC 1PC BALL CHECK ASSY W/ CERAMIC BALL - NO SPRING - 1500,DISC
213,CBM08PV101,(DISC) --- 1/2 IN PVC 1PC BALL CHECK ASSY W/ CERAMIC BALL - 1 PSIG - 1500,DISC
214,CBM08PV105,(DISC) --- 1/2 IN PVC 1PC BALL CHECK ASSY W/ CERAMIC BALL - 5 PSIG - 1500,DISC
215,CBM08PV120,(DISC) --- 1/2 IN PVC 1PC BALL CHECK ASSY W/ CERAMIC BALL - 20 PSIG - 1500,DISC
11219,CBM08S6Q200,1/2 IN SS 2-PC SUCTION CHECK ASSY W/ CERAMIC BALL - FKM - 1500,1C7B
11220,CBM08S6Q201,1/2 IN SS 2-PC DIS CHECK ASSY W/ CERAMIC BALL - FKM - 1500,1B4E
11226,CBODYDS61425,(DISC---CBODYDS61425-1) --- CHECK BODY - DISCH - 3/4 IN MNPT - 316SS,DISC
11227,CBODYDS61425-1,CHECK BODY - DISCH - 3/4 IN MNPT - 316SS,10D3A
11229,CBODYDS6304,DISCONTINUED --- MICRO DISCH BODY - 1/4 IN NPT - MICRO FAILSAFE CHECK - 2PC - 316SS,1A8A
11231,CBODYHC104,BODY - 1/4 IN FAILSAFE CHECK - 2PC - C276,1A9C
11231,CBODYHC104,BODY - 1/4 IN FAILSAFE CHECK - 2PC - C276,QC
216,CBODYPV104,(DISC) --- BODY - 1/4 IN PVC BALL CHECK - PVC - GRAY,DISC
217,CBODYPV108,(DISC) --- BODY - 1/2 IN PVC BALL CHECK - PVC - GRAY,DISC
11233,CBODYS6104,BODY - 1/4 IN FAILSAFE CHECK - 2PC - 316SS,1A6A
11234,CBODYS6204,BODY - 1/2 IN STRAIGHT THREAD - FACE SEAL - FAILSAFE CHECK - 2PC - 316SS,1A9A
11237,CBODYSHC108,CHECK BODY - SUCTION - 1/2 IN FAILSAFE CHECK - 2PC - C276,1B6A
11238,CBODYSHC1425,(DISC---CBODYSHC1425-1) --- CHECK BODY - SUCTION - C276,3C4D
11241,CBODYSN51425-1,CHECK BODY - SUCTION - NITRONIC 50,6E5A
11242,CBODYSS6108,CHECK BODY - SUCTION - 1/2 IN FAILSAFE CHECK - 2PC - 316SS,1A7B
11243,CBODYSS61425,(DISC---CBODYSS61425-1) --- CHECK BODY - SUCTION - 316SS,DISC
11244,CBODYSS61425-1,CHECK BODY - SUCTION - 316SS,10D3C
11245,CBODYSS6304,DISCONTINUED --- MICRO SUCT BODY - 1/2 IN STRAIGHT THREAD - FACE SEAL - MICRO FAILSAFE CHECK - 2PC - 316SS,1A8C
28768,"CCG-C-1,5","CCG-C-1,5- C-PVC CALIBRATION COLUMN- 1.5 LITRE, 1/2"" NPTF CONNECTION, PTFE GASKET",8B2B
28767,"CCG-S-0,05","CCG-S-0,05- SS316 CALIBRATION COLUMN- 0.05 LITRE, 1/2"" NPTF CONNECTION, PTFE GASKET",8B2B
28766,"CCG-S-0,1","CCG-S-0,1- SS316 CALIBRATION COLUMN- 0.1 LITRE, 1/2"" NPTF CONNECTION, PTFE GASKET",8B2B
27199,"CCG-S-0,5-1-1","CCG-S-0,5-1-1- SS316 CALIBRATION COLUMN- 0,5 LITRE, 1/2"" NPTF CONNECTION, PTFE GASKET",8B2B
28346,CCG-S-3-1-1,"CCG-S-3-1-1- SS316 CALIBRATION COLUMN- 3 LITRE, 1/2"" NPTF CONNECTION, PTFE GASKET",8B2B
29569,"CCG-U-0,025","CCG-U-0,025- UPVC CALIBRATION COLUMN- 0,5 LITRE, 1/2"" THREADED CONNECTION, PTFE GASKET",8B2B
25811,"CCG-U-0,05-1-1","CCG-U-0,05-1-1- UPVC CALIBRATION COLUMN- 0,05 LITRE, 1/2"" THREADED CONNECTION, PTFE GASKET",8B2B
25810,"CCG-U-0,1-1-1","CCG-U-0,1-1-1- UPVC CALIBRATION COLUMN- 0,1 LITRE, 1/2"" THREADED CONNECTION, PTFE GASKET",8B2B
29568,"CCG-U-0,5","CCG-U-0,5- UPVC CALIBRATION COLUMN- 0,5 LITRE, 1/2"" THREADED CONNECTION, PTFE GASKET",8B2B
25809,CCG-U-1-1-1,"CCG-U-1-1-1- UPVC CALIBRATION COLUMN- 1 LITRE, 1/2"" THREADED CONNECTION, PTFE GASKET",8B2B
29332,"CCG-X-0,025","CCG-X-0,025- CALIBRATION COLUMN- 0,025 LITRE, 1/2"" NPTF CONNECTION, PTFE GASKET, SS316 END CAPS",8B2B
28817,"CCG-X-0,05","CCG-X-0,05- CALIBRATION COLUMN- 0.05 LITRE, 1/2"" NPTF CONNECTION, PTFE GASKET, SS316 END CAPS",8B2B
29331,"CCG-X-0,1","CCG-X-0,1- CALIBRATION COLUMN- 0,1 LITRE, 1/2"" NPTF CONNECTION, PTFE GASKET, SS316 END CAPS",8B2B
28993,"CCG-X-0,25","CCG-X-0,25- CALIBRATION COLUMN- 0,25 LITRE, 1/2"" NPTF CONNECTION, PTFE GASKET, SS316 END CAPS",8B2B
28994,"CCG-X-0,5","CCG-X-0,5- CALIBRATION COLUMN- 0,5 LITRE, 1/2"" NPTF CONNECTION, PTFE GASKET, SS316 END CAPS",8B2B
28992,CCG-X-1,"CCG-X-1- CALIBRATION COLUMN- 1 LITRE, 1/2"" NPTF CONNECTION, PTFE GASKET, SS316 END CAPS",8B2B
28991,"CCG-X-1,5","CCG-X-1,5- CALIBRATION COLUMN- 1,5 LITRE, 1/2"" NPTF CONNECTION, PTFE GASKET, SS316 END CAPS",8B2B
219,CDA04S6Q101,1/4 IN AUTOCLAVE - 7/8 HP DISCHARGE CHECK - FKM - 316SS,1B8B
11250,CDA06S6F101,3/8 IN AUTOCLAVE - 7/8 HP DISCHARGE CHECK - FFKM - 316SS,1B5E
11251,CDA06S6F201,3/8 IN AUTOCLAVE - 5/8 HP DISCHARGE CHECK - FFKM - 316SS,1B5H
11255,CDA06S6Q101,3/8 IN AUTOCLAVE - 7/8 HP DISCHARGE CHECK - FKM - 316SS,1B8C
11256,CDA06S6Q201,3/8 IN AUTOCLAVE - 5/8 HP DISCHARGE CHECK - FKM - 316SS,1B8F
26474,CDF04HCF101,1/4 IN MP DISCHARGE CHECK - C276 HASTELLOY FFKM - 58,1B6F
11260,CDF04S6B101,1/4 IN MP DISCHARGE CHECK 58,1B3E
11261,CDF04S6F101,1/4 IN MP DISCHARGE CHECK - FFKM - 58,1B6F
11263,CDF04S6Q101,1/4 IN MP DISCHARGE CHECK - FKM - 58,1B9E
11264,CDFO4S6Q101,(DISC) --- 1/4 IN LP DISCHARGE CHECK - 58,DISC
11268,CDM04S6F201,(DISC---CDS04S6F201)----MICRO - 1/4 IN NPT X 1/2 IN STRAIGHT THREAD - FACE SEAL - FAILSAFE 2 PIECE DISCHARGE CHECK - FFKM,1C3A
11270,CDM04S6Q201,(DISC---CDS04S6Q201) --- MICRO - 1/4 IN NPT X 1/2 IN STRAIGHT THREAD - FACE SEAL - FAILSAFE 2 PIECE DISCHARGE CHECK - FKM,1C4B
11270,CDM04S6Q201,(DISC---CDS04S6Q201) --- MICRO - 1/4 IN NPT X 1/2 IN STRAIGHT THREAD - FACE SEAL - FAILSAFE 2 PIECE DISCHARGE CHECK - FKM,36
11277,CDM12S6F101,3/4 IN FAILSAFE 2 PIECE DISCHARGE CHECK - FFKM,1B6B
11279,CDM12S6Q101,3/4 IN FAILSAFE 2 PIECE DISCHARGE CHECK - FKM,1B9A
11279,CDM12S6Q101,3/4 IN FAILSAFE 2 PIECE DISCHARGE CHECK - FKM,135
11282,CDM16S6Q101,1 IN FAILSAFE 2 PIECE DISCHARGE CHECK - FKM - 316SS,1B8G
11285,CDS04S6F201,1/4 IN NPT X 1/2 IN STRAIGHT THREAD - FACE SEAL - FAILSAFE 2 PIECE DISCHARGE CHECK - FFKM - 1250/GX15,1B5A
11286,CDS04S6H201,1/4 IN NPT X 1/2 IN STRAIGHT THREAD - FACE SEAL - FAILSAFE 2 PIECE DISCHARGE CHECK - HNBR - 1250/GX15,1B6G
11287,CDS04S6Q201,1/4 IN NPT X 1/2 IN STRAIGHT THREAD - FACE SEAL - FAILSAFE 2 PIECE DISCHARGE CHECK - FKM - 1250/GX15,1B7B
11364,CFA06S6F101,3/8 IN IN-LINE AUTOCLAVE HP CHECK - FFKM - 58,1B5F
11366,CFA06S6Q101,3/8 IN IN-LINE AUTOCLAVE HP CHECK - FKM - 58,1B8D
11367,CFA12S6F101,3/4 IN IN-LINE CHECK - FFKM - 316SS,1B6A
11369,CFA12S6Q101,3/4 IN IN-LINE CHECK - FKM - 316SS,1B8H
11376,CFM04HCF201,1/4 IN HAST 2PC FAILSAFE CHECK ASSY - FFKM - 1 PSIG - 1250,1B3B
11383,CFM04HCQ200,1/4 IN HAST 2PC FAILSAFE CHECK ASSY - FKM - NO SPRING - 1250,1C6A
11384,CFM04HCQ201,1/4 IN HAST 2PC FAILSAFE CHECK ASSY - FKM - 1 PSIG - 1250,1B3A
11385,CFM04HCQ205,1/4 IN HAST 2PC FAILSAFE CHECK ASSY - FKM - 5 PSIG - 1250,1C6B
11386,CFM04HCQ220,1/4 IN HAST 2PC FAILSAFE CHECK ASSY - FKM - 20 PSIG - 1250,1C6B
11387,CFM04S6A201,1/4 IN SS 2PC FAILSAFE CHECK ASSY - VITON - 1 PSIG - 1250,1B4A
11388,CFM04S6B200,(DISC---CFM04S6H200)---1/4 IN SS 2PC FAILSAFE CHECK ASSY - BUNA - NO SPRING,1C4A
11389,CFM04S6B201,(DISC---CFM04S6H201)-----1/4 IN FAILSAFE CHECK ASSY - 316SS & BUNA N,1B4B
11390,CFM04S6B205,(DISC---CFM04S6H205)----1/4 IN SS 2PC FAILSAFE CHECK ASSY - BUNA - 5 PSIG,1C4A
11391,CFM04S6B220,(DISC---CFM04S6H220)---1/4 IN SS 2PC FAILSAFE CHECK ASSY - BUNA - 20 PSIG,1C4A
11393,CFM04S6F201,1/4 IN SS 2PC FAILSAFE CHECK ASSY - FFKM - 1 PSIG - 1250,1B4F
11394,CFM04S6F205,1/4 IN SS 2PC FAILSAFE CHECK ASSY - FFKM - 5 PSIG - 1250,1B5D
11395,CFM04S6F220,1/4 IN SS 2PC FAILSAFE CHECK ASSY - FFKM - 20 PSIG - 1250,1B5C
11396,CFM04S6H201,1/4 IN SS 2PC FAILSAFE CHECK ASSY - HNBR LOW TEMP - 1 PSIG - 1250,1B6I
11398,CFM04S6Q200,1/4 IN SS 2PC FAILSAFE CHECK ASSY - FKM - NO SPRING - 1250,1C4B
11399,CFM04S6Q201,1/4 IN SS 2PC FAILSAFE CHECK ASSY - FKM - 1 PSIG - 1250,33
11399,CFM04S6Q201,1/4 IN SS 2PC FAILSAFE CHECK ASSY - FKM - 1 PSIG - 1250,1B7D
11400,CFM04S6Q205,1/4 IN SS 2PC FAILSAFE CHECK ASSY - FKM - 5 PSIG - 1250,1B7F
11401,CFM04S6Q220,1/4 IN SS 2PC FAILSAFE CHECK ASSY - FKM - 20 PSIG - 1250,1B7G
11405,CFM08HCF101,1/2 IN HAST 1PC FAILSAFE CHECK ASSY - FFKM - 1 PSIG - 1500,1B3D
11408,CFM08HCQ100,1/2 IN HAST 1PC FAILSAFE CHECK ASSY - FKM - NO SPRING - 1500,1C6C
11409,CFM08HCQ101,1/2 IN HAST 1PC FAILSAFE CHECK ASSY - FKM - 1 PSIG - 1500,1B3C
11410,CFM08HCQ105,1/2 IN HAST 1PC FAILSAFE CHECK ASSY - FKM - 5 PSIG - 1500,1C6D
11411,CFM08HCQ120,1/2 IN HAST 1PC FAILSAFE CHECK ASSY - FKM - 20 PSIG - 1500,1C6D
24712,CFM08S6E101,1/2 IN SS 1PC FAILSAFE CHECK ASSY - EPDM - 1 PSIG - 1500,1B7E
24712,CFM08S6E101,1/2 IN SS 1PC FAILSAFE CHECK ASSY - EPDM - 1 PSIG - 1500,94
11414,CFM08S6F101,1/2 IN SS 1PC FAILSAFE CHECK ASSY - FFKM - 1 PSIG - 1500,1B4G
11418,CFM08S6F201,1/2 IN SS 2PC FAILSAFE CHECK ASSY - FFKM - 1 PSIG - 1500 HP,1B5G
11419,CFM08S6H101,1/2 IN SS 1PC FAILSAFE CHECK ASSY - HNBR - 1 PSIG - 1500,1B7A
11421,CFM08S6Q100,1/2 IN SS 1PC FAILSAFE CHECK ASSY - FKM - NO SPRING - 1500,1B8A
11422,CFM08S6Q101,1/2 IN SS 1PC FAILSAFE CHECK ASSY - FKM - 1 PSIG - 1500,94
11422,CFM08S6Q101,1/2 IN SS 1PC FAILSAFE CHECK ASSY - FKM - 1 PSIG - 1500,1B7E
11423,CFM08S6Q105,1/2 IN SS 1PC FAILSAFE CHECK ASSY - FKM - 5 PSIG - 1500,1C5B
11424,CFM08S6Q120,1/2 IN SS 1PC FAILSAFE CHECK ASSY - FKM - 20 PSIG - 1500,1C5B
11425,CFM08S6Q170,1500 SERIES - 1/2 IN SS 1PC FAILSAFE CHECK ASSY - FKM - 70 PSIG,1C5B
11426,CFM08S6Q201,1/2 IN SS 2PC FAILSAFE CHECK ASSY - FKM - 1 PSIG - 1500 HP,95
11426,CFM08S6Q201,1/2 IN SS 2PC FAILSAFE CHECK ASSY - FKM - 1 PSIG - 1500 HP,1B8E
11429,CFM12DS62Q201,(DISC) --- 3/4 IN FAILSAFE 2 PIECE DISCHARGE CHECK,DISC
11432,CFM12SS6F201,3/4 IN FAILSAFE 2 PIECE SUCTION CHECK - FFKM - 1500 - 1-1/2,1B6D
11434,CFM12SS6Q201,3/4 IN FAILSAFE 2 PIECE SUCTION CHECK - FKM - 1500 - 1-1/2,136
11434,CFM12SS6Q201,3/4 IN FAILSAFE 2 PIECE SUCTION CHECK - FKM - 1500 - 1-1/2,1B9C
11437,CFM16SS6Q201,(DISC) --- 1 INCH FAILSAFE 2 PIECE SUCTION CHECK,DISC
11438,CIPXRCV,I-P CONVERTER,PROJ
26906,CLX9900,"CLX9900- AUTOCLAVE ELBOW- 9/16"" OD, MP, 20,000PSI, SS316",5C2E
274,CPBR102,BEARING TAPERED ROLLER BEARING,2D3C
20588,CPBR6908-2RS,DRIVE BEARING - ATP,6D3A
20589,CPBU040610,"BUSHING ADJUSTMENT NUT - 1/4"" - ATP",6D3B
20590,CPBU060810,"BUSHING SLIDE ROD -  3/8"" - ATP",6D3B
20591,CPBU081010,"BUSHING ADJUSTMENT NUT - 1/2"" - ATP",6D3B
283,CPBU108,"FLANGED SLEEVE BEARING - OIL-EMBEDDED - 1/2"""" SHAFT - 5/8"""" OD - 1/2"""" LENGTH - SAE 841 BRONZE - TRANSFER SHAFT ACTUATOR",6D3B
20281,CPBU110,SLEEVE BUSHING - ATP,6D6C
20403,CPBUDL0412-01,"ROD BUSHING - 1/4"" - DELRIN - ATP",6B4D
20404,CPBUDL0612-01,"ROD BUSHING - 3/8"" - DELRIN - ATP",6B5D
28301,CPBUDL0812-10,"ROD BUSHING - 1/2"" - DELRIN - ATP",6B6D
284,CPBUNB92691,BRONZE BUSHING - FXA,2D4C
11475,CPCH0001-1,CHARGE ADAPTER - PULSATION CHARGE ASSEMBLY - BRASS,3E3B
285,CPCK0001-1,"4"""" ALUMINUM HANDWHEEL WITH FOLDING HANDLE AND SET SCREW - 3/8"""" BORE - BLACK POWDER COAT",B-2C5C
11477,CPD0001-3,BODY - PISTON ACCUMULATOR,2E7A
11478,CPD0002-3,COVER - PISTON ACCUMULATOR,2E7B
